,Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Label
720,spotify:track:2ijYaB3g5jj1TdxQyegiuR,Stand Still,"spotify:artist:1lc8mnyGrCLtPhCoWjRxjM, spotify:artist:2xRBcpNYedlk5IhmIxfUqo","Flight Facilities, Micky Green",spotify:album:3ymNidn5GJ9cVhGo2Symqk,Down To Earth,spotify:artist:1lc8mnyGrCLtPhCoWjRxjM,Flight Facilities,2014-01-01,https://i.scdn.co/image/ab67616d0000b27333b282c1d6c9d51f8253d1ce,1,5,259386,,False,0,,2017-04-22T08:05:50Z,0.647,0.736,11.0,-8.264,0.0,0.0434,0.0279,0.0335,0.129,0.934,169.921,4.0,True
721,spotify:track:5wyfaZpVP0lAuEWG9xJ3yA,Fly on the Wall,spotify:artist:44insiIQApkRaCMIbuaISJ,Joey Pecoraro,spotify:album:3gDSGSwgXRpvo3TebePUBI,Little Pear,spotify:artist:44insiIQApkRaCMIbuaISJ,Joey Pecoraro,2015-08-14,https://i.scdn.co/image/ab67616d0000b273445f840f8df41ad4f1a35320,1,2,312265,https://p.scdn.co/mp3-preview/24059a6b70d75ecc0f2843634492fd0a44e35f23?cid=9950ac751e34487dbbe027c4fd7f8e99,False,44,,2019-03-10T00:50:05Z,0.674,0.39,2.0,-8.502,1.0,0.0384,0.672,0.866,0.702,0.272,77.963,4.0,True
722,spotify:track:6dUoeNrYwQoeerX32MiWmu,Bibi The Dog (feat. Mai Lan),"spotify:artist:63MQldklfxkjYDoUE4Tppz, spotify:artist:2mDibyYe7k76MBMSZDTGo1","M83, Mai Lan",spotify:album:0iSRofVrTOCOs841JkSgwk,Junk,spotify:artist:63MQldklfxkjYDoUE4Tppz,M83,2016-04-08,https://i.scdn.co/image/ab67616d0000b2731515b53a3376db5f4dde2bbb,1,4,234000,https://p.scdn.co/mp3-preview/b133ed25a369ff056b1e3b7076ee4bf628c3101c?cid=9950ac751e34487dbbe027c4fd7f8e99,False,34,,2017-04-22T08:11:13Z,0.62,0.768,9.0,-7.028,1.0,0.0404,0.00218,0.244,0.0809,0.807,102.98,4.0,False
723,spotify:track:2eMwDehkIC1j68U6FA3Eiq,XO TOUR Llif3,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,spotify:album:4CZVGlURM8vncG4ftZULTS,XO TOUR Llif3,spotify:artist:4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,2017-03-24,https://i.scdn.co/image/ab67616d0000b27315531ec8568373f631db9786,1,1,182706,,True,1,,2017-07-23T06:12:18Z,0.732,0.75,11.0,-6.366,0.0,0.231,0.00264,0.0,0.109,0.401,155.096,4.0,True
724,spotify:track:2fgAJeky8Cpsr8Cfvn2NVp,untitled 03 | 05.28.2013.,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,spotify:album:0kL3TYRsSXnu0iJvFO3rud,untitled unmastered.,spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,2016-03-04,https://i.scdn.co/image/ab67616d0000b2738c697f553a46006a5d8886b2,1,3,154346,https://p.scdn.co/mp3-preview/8c9e7d487b9fb23504438cf995b5b40279b320d3?cid=9950ac751e34487dbbe027c4fd7f8e99,True,53,,2016-08-16T16:37:13Z,0.813,0.549,5.0,-12.427,0.0,0.269,0.608,1e-06,0.129,0.562,103.914,4.0,True
725,spotify:track:0DAsxISzun85PbsqAfIzeC,Intro,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx,spotify:album:2rmMeEq5D1Bg7YFRwtHBDr,xx,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,The xx,2009-08-18,https://i.scdn.co/image/ab67616d0000b273cd4b0b0947bdd7708d24349e,1,1,127920,,False,6,,2017-04-22T07:37:04Z,0.617,0.778,9.0,-8.871,0.0,0.027,0.459,0.925,0.128,0.152,100.363,4.0,True
726,spotify:track:2LymrRZ1w0yyuyaT730X6i,Ali & Matthias II,spotify:artist:63MQldklfxkjYDoUE4Tppz,M83,spotify:album:2D7n3im1n6of8bdRPHK0TR,You And The Night,spotify:artist:63MQldklfxkjYDoUE4Tppz,M83,2014-03-01,https://i.scdn.co/image/ab67616d0000b273d753dce0e96bc3a441eb4929,1,12,132120,https://p.scdn.co/mp3-preview/0d9d9960738dfc551bb6eeca8b9ec87c3b4cfe8d?cid=9950ac751e34487dbbe027c4fd7f8e99,False,17,,2017-04-22T08:11:16Z,0.274,0.219,0.0,-11.428,1.0,0.0355,0.0123,0.969,0.13,0.258,66.672,4.0,False
727,spotify:track:3bfVjyBYbKposaa6JUUYbD,Humility (feat. George Benson),"spotify:artist:3AA28KZvwAUcZuOKwyblJQ, spotify:artist:4N8BwYTEC6XqykGvXXlmfv","Gorillaz, George Benson",spotify:album:2S5icSqd4OrTBCX87XchIS,The Now Now,spotify:artist:3AA28KZvwAUcZuOKwyblJQ,Gorillaz,2018-06-29,https://i.scdn.co/image/ab67616d0000b27335dfe15d1c045810efa10768,1,1,197933,https://p.scdn.co/mp3-preview/4dc467e43d908a93c3808055c766661f1157ed56?cid=9950ac751e34487dbbe027c4fd7f8e99,False,11,,2018-06-29T15:07:51Z,0.632,0.807,0.0,-5.893,1.0,0.126,0.144,0.0211,0.125,0.784,160.174,4.0,False
728,spotify:track:2HHcGQ3ErOFn96eBKc0dJW,Last Time Forever - Single Version,spotify:artist:6Jrj26oAY96EEC2lqC6fua,Squeeze,spotify:album:6A6fBHJrPa2DAcezcG8M3e,Greatest Hits,spotify:artist:6Jrj26oAY96EEC2lqC6fua,Squeeze,1992-01-01,https://i.scdn.co/image/ab67616d0000b273061f4cdc04b61ecf0d35b91a,1,14,253373,,False,0,,2017-05-03T22:35:56Z,0.467,0.52,0.0,-13.379,1.0,0.044,0.194,6.4e-05,0.0733,0.657,176.198,4.0,False
729,spotify:track:1Tkfsx3KWhPTPUARXdIj44,Perception (feat. The Mind),"spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:3MiqXCg2DuA3BO2nexXLCt","Mick Jenkins, The Mind",spotify:album:302R4KlFy873Aq7YJNPHWr,Wave[s],spotify:artist:1FvjvACFvko2Z91IvDljrx,Mick Jenkins,2015-08-21,https://i.scdn.co/image/ab67616d0000b27350a8792c1b9a2701c9777a67,1,9,222245,,True,0,,2016-09-03T19:41:54Z,0.546,0.585,8.0,-4.622,1.0,0.14,0.165,0.0,0.0914,0.332,133.541,4.0,False
